源文本	hel模型	liam模型
The use of improvised explosive devices and vehicle-borne improvised explosive devices continued.	简易爆炸装置和车载简易爆炸装置的使用仍在继续。	简易爆炸装置和车载简易爆炸装置的使用仍在继续。
The outing was very successful as shortly after it the Abia state government demolished a big private hospital in Aba that had allegedly been serving as a "baby factory".	阿比亚州政府摧毁了阿巴的一所大型私人医院, 据称该医院曾是一家“婴儿工厂”。	阿比亚州政府拆除了阿巴一所大型私人医院, 声称该所医院曾是一家“婴儿工厂”。
Educational Foundation for African Women has contributed significantly to girl child education in various parts of Africa and advocated for stern disciplinary actions to address the issue of violence, especially domestic violence, which most often affects the girl child adversely.	非洲妇女教育基金会为非洲各地的女童教育作出了重大贡献,倡导采取严厉惩戒行动,解决暴力问题,特别是家庭暴力,家庭暴力往往对女童产生不利影响。	非洲妇女教育基金会对非洲各地的女童教育作出了重大贡献,倡导采取严厉惩戒行动,解决暴力问题,特别是家庭暴力,家庭暴力往往对女童产生不利影响。
Under no circumstances may the provisions of the 1921 Ankara Agreement be cited as justification for the Turkish Government's actions, because the privileges granted to the Turkish Government, whether in respect of the shrine, the flying of the Turkish flag or the posting of guards, were tied to the original location of the shrine and its symbolism.	在任何情况下,都不得援引1921年《安卡拉协定》的规定作为土耳其政府采取行动的理由,因为给予土耳其政府的特权,无论是关于圣殿、土耳其国旗的悬挂还是警卫的布署,都与圣殿的原址及其象征意义挂钩。	在任何情况下,都不得援引1921年《安卡拉协定》的规定作为土耳其政府采取行动的理由,因为给予土耳其政府的特权,无论是关于圣殿、悬挂土耳其国旗还是警卫的登岗,都与圣殿的原址及其象征意义挂钩。
Date of launch:	发射日期:	发射日期:
First regular session 2015	2015年第一届常会	2015年第一届常会
The second constraint is the effectiveness and efficiency of the United Nations Office at Nairobi, cited in prior evaluations and echoed in staff and partner interviews and surveys, as well as four of the five country case studies, in the present evaluation.	第二个制约因素是联合国内罗毕办事处的效力和效率,在以前的评价中引述了这一点,在工作人员和合作伙伴的访谈和调查以及本次评价中五个国家案例研究中的四个国家案例研究中也反映了这一点。	第二项制约因素是联合国内罗毕办事处的实效和效率,在以前的评价中引述了这一点,在工作人员和伙伴访谈和调查以及本次评价中的五个国家案例研究中的四个得到了响应。
Win-win cooperation should be a basic policy goal for Member States in dealing with international affairs.	双赢合作应当是会员国处理国际事务的基本政策目标。	双赢合作应成为会员国处理国际事务的基本政策目标。
This year marks the seventieth anniversary of the founding of the United Nations and the victory won in the world war against fascism.	今年是联合国成立70周年,也是世界反法西斯战争取得胜利的胜利。	今年是联合国成立70周年,也是世界反法西斯战争取得胜利的胜利。
Achim Kassow (Germany)**	阿希姆·卡索(德国)**	阿希姆·卡索(德国)**
7. In a note verbale dated 20 January 2015, the Permanent Mission of Argentina to the United Nations informed the Secretariat of the following:	7. 阿根廷常驻联合国代表团在2015年1月20日的普通照会中通知秘书处如下:	7. 在2015年1月20日的普通照会中,阿根廷常驻联合国代表团通知秘书处如下:
The tradition of eternal victory for the Democratic People's Republic of Korea and disgrace and defeat for the United States imperialists, recorded in the past history of showdowns between the Democratic People's Republic of Korea and the United States, will be carried forward forever.	朝鲜民主主义人民共和国永远胜利的传统和美国帝国主义的耻辱和失败将永远延续下去,这在朝鲜民主主义人民共和国与美国之间以往的摊牌史上都有记录。	朝鲜民主主义人民共和国永远胜利的传统和美国帝国主义的耻辱和失败将永远延续下去,这在朝鲜民主主义人民共和国和美国之间以往的摊牌史上有记录。
This is a decisive option of the Democratic People's Republic of Korea.	这是朝鲜民主主义人民共和国的决定性选择。	这是朝鲜民主主义人民共和国的决定性选择。
7. Protection of the environment in relation to armed conflicts.	7. 与武装冲突有关的环境保护。	7. 与武装冲突有关的环境保护。
Provisional agenda for the sixty-seventh session	第六十七届会议临时议程	第六十七届会议临时议程
2. The sponsors of the proposal highlighted the continued relevance of the subject matter of the revised working paper and its value in providing a common understanding of the legal consequences of the resort to the use of force by States without prior authorization by the Security Council.	2. 提案提案国强调,订正工作文件的主题事项仍然具有现实意义,它对于就各国未经安全理事会事先授权而诉诸武力的法律后果提供共同理解很有价值。	2. 提案提案国强调,订正工作文件的主题仍然具有现实意义,并具有价值,有助于就国家在未经安全理事会事先授权的情况下诉诸武力的法律后果达成共识。
